"lon","lat","present"
-112.78208,53.33769,0
-113.88548,53.68701,0
-114.22008,53.16381,0
-115.26551,53.80272,0
-116.40425,53.59917,0
-117.71063,53.3741,0
-118.48345,53.81254,0
-110.8863,54.0577,0
-111.2782,54.26763,0
-112.97986,54.49999,0
-113.15816,54.83513,0
-114.71491,54.12038,0
-115.53764,54.76026,0
-116.21592,54.13311,0
-117.24782,54.76609,0
-118.22621,54.75011,0
-119.19583,54.93788,0
-110.90708,55.55421,0
-111.73195,55.00613,0
-112.45371,55.38705,0
-113.44,55.486,0
-114.91416,55.49903,0
-115.38534,55.25797,0
-116.78184,55.5528,0
-117.82555,55.78143,0
-118.45722,55.84027,0
-119.21774,55.1415,0
-111.67212,56.23349,0
-114.22008,53.16381,0
-115.36416,56.28424,0
-117.00335,56.3628,0
-117.82119,56.27611,0
-118.73912,56.50842,0
-119.8199,56.19496,0
-117.61089,57.06812,0
-111.83849,59.98857,0
-112.48716,59.31102,0
-111.61484,59.86175,0
-110.889404,49.8778677,0
-115.07526,50.98545,0
-110.69079,49.26127,0
-111.69789,49.58229,0
-112.1495,49.61134,0
-113.09867,49.90214,0
-114.04528,49.0201,0
-110.07319,50.00432,0
-111.11275,50.92139,0
-112.02041,50.30279,0
-113.82728,50.42635,0
-114.09345,50.54263,0
-110.38028,51.44533,0
-111.20079,51.57551,0
-112.13115,51.95441,0
-113.89621,51.56148,0
-114.21268,51.54794,0
-115.40694,51.66166,0
-110.58437,52.93074,0
-111.89042,52.90149,0
-111.99628,52.63801,0
-113.98702,52.61069,0
-114.40959,52.5814,0
-115.96781,52.20935,0
-117.51832,52.48771,0
-110.54172,53.29003,0
-111.76012,53.10329,0
-112.14825,53.10505,0
-113.1229,53.11978,0
-114.78685,53.54122,0
-115.61189,53.77362,0
-110.30494,54.18052,0
-111.97184,54.75735,0
-112.8288,54.43414,0
-113.91555,54.05083,0
-115.78253,54.74231,0
-117.03659,54.36335,0
-111.10694,55.66923,0
-113.69851,55.90366,0
-116.61371,55.59954,0
-117.357,55.08341,0
-118.38853,55.69463,0
-119.66554,55.31601,0
-110.85584,56.1651,0
-117.45825,56.74097,0
-118.07956,56.24743,0
-119.0307,56.36365,0
-115.13917,50.6917,0
-110.27546,49.53812,0
-111.79937,49.34847,0
-112.65106,49.38423,0
-113.65683,49.26174,0
-114.48967,49.63589,0
-110.96022,50.22206,0
-111.98355,50.15235,0
-112.31428,50.16448,0
-113.39021,50.48464,0
-114.2469,50.51364,0
-110.19278,51.35788,0
-111.51697,51.76553,0
-112.33055,51.18333,0
-113.7321,51.4154,0
-114.7631,51.21046,0
-110.19538,52.28851,0
-111.10859,52.66775,0
-112.85969,52.52175,0
-113.93962,52.55125,0
-114.19363,52.65721,0
-115.52037,52.79593,0
-117.34166,52.98463,0
-110.15187,53.26353,0
-111.24257,53.77624,0
-112.70335,53.93434,0
-113.85339,53.3377,0
-114.78773,53.48311,0
-115.71055,53.72457,0
-110.35393,54.3556,0
-111.37939,54.4716,0
-112.22591,54.23924,0
-113.32135,54.03624,0
-114.0776,54.47181,0
-115.11754,54.03515,0
-115.25994,54.999,0
-116.4117,55.43233,0
-117.17992,55.43279,0
-118.35911,55.34589,0
-119.0514,55.46148,0
-110.68143,49.52351,0
-111.51741,49.75642,0
-112.42692,49.46501,0
-113.78431,49.74948,0
-110.32547,50.55749,0
-111.86568,50.93578,0
-112.99408,50.60144,0
-113.39054,50.01932,0
-114.20751,50.27017,0
-110.91913,51.44452,0
-111.47615,51.41613,0
-112.04431,51.32885,0
-113.16917,51.35786,0
-114.25969,51.32922,0
-110.74296,52.01191,0
-111.81444,51.99756,0
-112.03574,52.81435,0
-113.22096,52.72674,0
-114.40958,52.40635,0
-115.95438,52.52326,0
-110.94575,53.99143,0
-111.13402,53.45383,0
-112.78189,53.30862,0
-113.19621,53.1343,0
-114.3987,53.62844,0
-115.45111,53.61388,0
-110.76131,54.63619,0
-111.2532,54.26769,0
-112.37493,54.67334,0
-113.43309,54.61755,0
-114.48941,54.34059,0
-116.30623,55.43277,0
-117.18531,56.00454,0
-118.12955,55.81052,0
-119.97593,55.2579,0
-110.68174,49.86216,0
-114.079114,49.875772,0
-111.84916,50.56388,0
-112.17449,50.92147,0
-110.60929,50.70277,0
-111.19086,51.27059,0
-112.26998,49.34834,0
-113.666157,51.67828,0
-113.21913,52.20114,0
-113.1229,53.11978,0
-114.17258,53.01772,0
-112.01798,54.91816,0
-114.05202,54.23922,0
-116.79778,55.11255,0
-111.56814,50.08913,0
-113.908,49.98083,0
-112.45127,50.83397,0
-110.673829,50.765188,0
-110.56255,49.10149,0
-114.15326,54.48029,0
-112.99408,50.60144,0
-110.56255,49.10149,0
-110.56255,49.10149,0
-111.106443,51.5863036,0
-112.81534,53.71625,0
-113.3253169,36.4118157,0
-112.0460509,36.7313947,0
-111.3865819,36.1623537,0
-110.5019459,36.5612867,0
-109.4726859,36.5089267,0
-114.2909089,35.8986777,0
-113.2016679,35.5156177,0
-112.8721919,35.7549067,0
-111.5777809,35.3950617,0
-110.6230399,35.8687197,0
-109.2046208,35.678979,0
-114.4831159,34.9859877,0
-113.9188229,34.7270747,0
-112.4327389,34.6437087,0
-111.4342499,34.8492047,0
-110.3230139,34.6673667,0
-109.6046705,34.4781336,0
-114.2169649,33.6562037,0
-113.8530119,33.8839297,0
-112.2723363,33.7034749,0
-111.2169189,33.0219797,0
-110.9051519,33.8114477,0
-109.1067429,33.6100527,0
-114.3988546,32.8332815,0
-113.5413359,32.9285617,0
-112.7874759,32.3325717,0
-111.3839189,33.0156287,0
-110.3031159,32.0343407,0
-109.3368449,32.4996877,0
-112.9573589,32.0266567,0
-111.064564,31.387449,0
-110.7949529,31.5175977,0
-109.6948089,31.8181957,0
-113.0649869,36.2863797,0
-112.0319722,36.3131479,0
-111.4526999,36.9132282,0
-110.8794319,36.3915637,0
-109.6437909,36.3599237,0
-114.582156,35.1226722,0
-113.8087941,35.4272901,0
-112.2188339,35.0556327,0
-111.9475859,35.1634107,0
-110.3798989,35.2779817,0
-109.8516089,35.5302347,0
-113.5975476,34.2318174,0
-112.6192267,34.7733727,0
-111.1008299,34.3566847,0
-110.7666667,34.7,0
-109.9154509,34.1153987,0
-114.668276,33.2314477,0
-112.9375459,33.2869987,0
-112.677217,33.3339864,0
-111.6398389,33.8177037,0
-110.5290913,33.1754789,0
-109.1657669,33.8668667,0
-114.4452209,32.8548017,0
-112.2624969,32.1764407,0
-111.3291239,32.57312,0
-110.5053099,32.5434377,0
-109.8181145,32.6498267,0
-112.9321083,32.4009815,0
-111.0671459,31.7120327,0
-110.9446259,31.9576267,0
-109.4732045,31.6464055,0
-112.77163,33.962204,0
-113.4587859,36.6901017,0
-111.0768659,36.6095467,0
-109.1965869,36.3019687,0
-114.6619869,35.8663787,0
-113.3760172,35.5541565,0
-112.5859679,35.2307957,0
-111.4382855,34.8379964,0
-110.3781682,34.6116178,0
-113.8247909,33.9225847,0
-111.3789069,33.0385437,0
-110.9464649,33.5656117,0
-109.1063079,33.6103817,0
-112.86988,32.4655,0
-111.3334729,32.9583127,0
-112.7999879,31.9571917,0
-109.2013399,31.9825267,0
-109.3232177,35.5413048,0
-112.677217,33.3339864,0
-110.215069,33.178809,0
-112.8270799,32.3559327,0
-111.329123,32.57312,0
-114.6620259,35.8663187,0
-113.82479,33.9225847,0
-109.73797,31.75871,0
-109.9150009,31.9197167,0
-109.2258228,31.6064617,0
-91.8906744,33.3121558,1
-91.3322519,33.1683737,1
-92.5979989,33.9045937,1
-92.6974039,33.5907857,1
-93.4706879,33.3755757,1
-93.6694105,33.6627163,1
-94.1229479,33.6969877,1
-90.5065699,34.9269397,0
-91.7000729,34.7079957,1
-91.4995419,34.0487397,1
-92.7855459,34.6176687,1
-92.6636599,34.3401497,1
-93.2513959,34.0344927,1
-93.0827549,34.6972007,1
-94.0440279,34.9704407,1
-90.6809479,35.4848667,0
-90.2869869,35.5182337,0
-91.3577789,35.3146747,0
-91.3426352,35.9114603,1
-92.7182699,35.6330837,1
-92.1956399,35.5702167,1
-93.6640897,35.4263985,1
-93.0696409,35.7806777,1
-94.3318236,35.3514159,1
-90.9236529,36.4436877,0
-91.7354059,36.0989147,0
-92.1148009,36.4061087,1
-93.2802279,36.1206137,1
-94.1100149,36.4053037,1
-94.303299,36.329802,0
-93.472462,36.394077,1
-92.751243,36.210562,0
-91.22905,36.313763,0
-90.517158,36.240019,0
-90.000225,35.901224,0
-90.966633,35.396663,0
-91.658032,35.373736,0
-92.442323,35.939336,1
-93.68179,35.075027,1
-94.324251,34.442965,1
-93.689266,34.65949,1
-92.001796,34.559183,0
-91.573969,34.13829,0
-94.006856,33.782848,1
-93.493628,33.026092,1
-92.967494,33.454572,1
-91.220963,33.796907,0
-94.344402,35.615095,1
-91.3166667,33.1666667,0
-92.5894309,33.9394687,1
-91.7077371,34.7008083,0
-92.8007333,34.7023815,1
-92.633333,34.35,1
-93.2368089,34.8282537,1
-90.2867129,35.5182227,1
-91.3577331,35.3146835,0
-94.324251,34.442965,1
-93.2948547,35.6440029,1
-93.4248279,35.1599347,1
-93.8210314,35.6923427,1
-92.6142649,33.6978337,1
-90.684515,34.7364157,1
-123.59913,48.78529,0
-124.05527,48.4223,0
-114.73244,49.29379,0
-115.51624,49.46161,0
-116.66111,49.2998,0
-117.25726,49.14681,0
-118.14029,49.77716,0
-119.07822,49.44594,0
-120.59727,49.15319,0
-121.68847,49.29488,0
-122.53478,49.18402,0
-123.51336,49.40682,0
-124.83643,49.26155,0
-125.18799,49.47547,0
-114.9578,50.2456,0
-115.87449,50.23927,0
-116.47839,50.92435,0
-117.20573,50.03801,0
-118.74332,50.44063,0
-119.32095,50.67375,0
-120.69166,50.28285,0
-121.09934,50.02257,0
-122.22407,50.7898,0
-125.24111,50.02638,0
-126.15643,50.35,0
-127.87685,50.70394,0
-116.98707,51.32189,0
-117.41691,51.50424,0
-118.63605,51.67589,0
-119.39066,51.03674,0
-120.71029,51.38704,0
-121.97944,51.41319,0
-123.69749,51.56289,0
-124.39194,51.48959,0
-119.11384,52.52649,0
-120.79386,52.09082,0
-121.33773,52.89753,0
-122.06768,52.14952,0
-123.52471,52.2551,0
-125.40723,52.51026,0
-126.52696,52.38755,0
-120.0785,53.27895,0
-121.98128,53.03893,0
-122.46127,53.97137,0
-124.90146,53.59811,0
-119.67144,53.08394,0
-120.110868,54.968859,0
-123.0335,54.98797,0
-124.83168,54.08715,0
-125.41909,54.41321,0
-126.79256,54.36058,0
-127.31883,55.00224,0
-128.58215,54.37166,0
-129.29622,54.33308,0
-120.15842,55.45441,0
-123.20833,55.45083,0
-124.73047,55.7995,0
-125.17355,55.60208,0
-127.8863,55.15831,0
-128.84994,55.77153,0
-129.134639,55.208608,0
-120.39971,56.363,0
-121.90827,56.03028,0
-129.28439,56.10483,0
-123.598512,48.757438,0
-124.394624,48.582066,0
-130.22035,57.50214,0
-122.91585,58.84236,0
-123.85158,58.66046,0
-123.95445,58.66678,0
-125.125803,49.513493,0
-116.05594,50.63278,0
-129.86339,58.1,0
-116.67451,51.249,0
-122.92073,59.98089,0
-125.24111,50.02638,0
-118.63605,51.67589,0
-129.7417,59.22053,0
-120.71029,51.38704,0
-131.97479,59.94131,0
-133.79492,60.00029,0
-134.66026,60.00179,0
-136.36189,59.4505,0
-126.11727,49.67907,0
-124.83168,54.08715,0
-120.992768,55.925337,0
-127.74637,55.196991,0
-121.5912,55.57768,0
-132.05651,54.03085,0
-132.11712,53.25051,0
-131.86411,53.23725,0
-123.34957,48.40459,0
-124.81477,48.87213,0
-115.64972,49.64847,0
-116.52268,49.07317,0
-117.61742,49.50856,0
-118.47504,49.04169,0
-119.72963,49.59762,0
-120.29275,49.1322,0
-121.97367,49.04834,0
-122.68951,49.23117,0
-123.25848,49.26269,0
-124.17869,49.78313,0
-125.69448,49.04273,0
-115.84356,50.6492,0
-116.99999,50.33732,0
-119.08702,50.26615,0
-120.61948,50.22497,0
-121.82873,50.88093,0
-122.95793,50.14379,0
-125.49475,50.18259,0
-127.34662,50.28543,0
-117.00095,51.41655,0
-117.76182,51.18085,0
-119.43477,51.41576,0
-120.14999,51.31666,0
-121.46523,51.97885,0
-122.40933,51.95592,0
-123.07011,51.79483,0
-124.36813,51.98254,0
-121.38518,52.47331,0
-122.34963,52.12432,0
-125.08943,52.25749,0
-121.74297,53.73398,0
-122.8157,53.9421,0
-122.96084,53.65356,0
-122.6524,54.34294,0
-124.102046,54.521077,0
-127.31883,55.00224,0
-128.84598,54.82941,0
-120.992768,55.925337,0
-128.7456,55.68545,0
-120.635607,56.586734,0
-132.180269,53.686199,0
-131.79334,53.20804,0
-115.79342,49.72421,0
-120.38993,49.03906,0
-121.06323,49.00246,0
-122.68952,49.24412,0
-124.17869,49.78313,0
-122.88437,50.211346,0
-123.25239,59.23336,0
-127.980411,50.680643,0
-129.06944,59.96444,0
-122.254931,51.581696,0
-136.59568,59.78907,0
-128.700779,54.001414,0
-123.54811,48.74932,0
-124.05783,48.82305,0
-118.77692,49.70977,0
-119.27952,49.10741,0
-120.8548,49.77692,0
-121.38798,49.02589,0
-122.53478,49.18402,0
-123.24195,49.47441,0
-124.09906,49.19418,0
-125.25462,49.60569,0
-118.77176,50.21164,0
-119.08629,50.81583,0
-121.61208,50.78927,0
-122.25638,50.43183,0
-125.16041,50.02276,0
-117.52988,51.71637,0
-121.74297,53.73398,0
-121.52185,49.8404771,0
-122.400526,49.928775,0
-124.146943,49.51926,0
-125.20263,49.57778,0
-119.5261,49.25746,0
-120.22432,49.40133,0
-122.029039,49.129994,0
-123.17833,49.68665,0
-124.35721,49.25092,0
-125.09807,49.64242,0
-120.08938,50.57455,0
-121.5819,50.24223,0
-120.14918,49.72025,0
-122.990948,49.066456,0
-120.9503,50.13425,0
-117.94334,49.37134,0
-123.0047055,41.8223332,0
-122.5264669,41.1419727,0
-121.2571315,41.1014068,0
-124.1417935,41.6955943,0
-124.1233439,40.2431947,0
-123.9615249,40.4150917,0
-122.3059647,40.3520163,0
-121.4255289,40.4941127,0
-120.6982799,40.5758997,0
-123.2246019,39.2648927,0
-122.9409709,39.5232837,0
-121.7340849,39.2754327,0
-120.7596199,39.1239687,0
-123.5854569,38.8035918,0
-122.2402499,38.9787297,0
-121.7519384,38.0878897,0
-120.2121659,38.3563447,0
-119.8362579,38.3432387,0
-122.4709619,37.6849387,0
-121.1660539,37.9248767,0
-120.860951,37.5947824,0
-119.6302109,37.3670857,0
-118.0220022,37.1720925,0
-119.8358759,36.5471497,0
-121.1750259,36.7623647,0
-120.3048859,36.3127167,0
-119.4395069,36.7712237,0
-118.9924775,36.2677648,0
-117.5737919,36.7126677,0
-117.8859479,36.1558717,0
-117.2138369,36.5381747,0
-120.5305939,35.8086777,0
-119.1639019,35.1800607,0
-118.0780029,35.7335697,0
-117.9172289,35.0877907,0
-116.9158549,35.3017657,0
-115.7029053,35.473722,0
-120.0690309,34.4663227,0
-119.3142549,34.3571317,0
-118.5635609,34.8404587,0
-117.0048749,34.6236297,0
-119.3320309,34.8339497,0
-115.4898379,34.5108617,0
-114.1414869,34.2888977,0
-118.2918089,33.7909207,0
-117.1214679,33.9285177,0
-116.8011859,33.3988807,0
-115.1445009,33.0446677,0
-114.7292329,33.4048617,0
-117.1190639,32.5434577,0
-116.23272,32.903954,0
-121.2813029,36.8242987,0
-120.5194684,36.2251687,0
-119.3047559,36.6315997,0
-118.8985706,36.0801334,0
-117.6717296,36.3180973,0
-120.8880009,35.2565319,0
-117.7611699,37.2267497,0
-117.800197,35.6076917,0
-117.1469807,34.8508216,0
-116.9615329,35.0263717,0
-115.4289179,35.5408027,0
-117.342044,35.8180322,0
-116.1930811,35.8040435,0
-116.1438409,35.1091439,0
-116.8289569,34.3333857,0
-115.2438758,34.7336313,0
-115.6467441,34.9755274,0
-115.1040949,34.0883297,0
-115.7137562,33.4529856,0
-122.8668979,38.0453507,0
-121.0703359,38.8992737,0
-120.7128219,41.6796987,0
-123.8016231,41.2017931,0
-124.1636509,40.5280727,0
-120.3646258,40.7999549,0
-122.2919583,40.8737513,0
-120.6326679,39.7846537,0
-121.704424,39.9935292,0
-122.2390059,39.7633427,0
-123.5822599,39.1612277,0
-119.8237379,38.7754607,0
-122.5909499,37.9851247,0
-118.5296169,37.8002217,0
-116.9455029,34.4584537,0
-114.4066433,34.4912299,0
-114.6666667,34.9,0
-115.8016279,33.6738577,0
-115.4847789,33.2200507,0
-114.6230009,33.6171807,0
-117.0157469,32.9696237,0
-115.4338989,32.8471607,0
-114.4726339,32.8818917,0
-116.9363639,34.9995167,0
-120.2906994,38.5562592,0
-119.1943049,38.1752167,0
-122.3819302,40.5164906,0
-121.0356899,38.7202247,0
-118.3742829,33.3657387,0
-115.579064,33.285091,0
-118.55729,34.5675322,0
-118.1049598,34.2581397,0
-117.579092,33.6408199,0
-116.7862853,33.1990869,0
-116.6706725,33.6681143,0
-121.6956939,36.4530827,0
-115.4116059,35.1743817,0
-118.5699849,35.7786557,0
-117.69055,34.3863889,0
-117.9406162,34.5208799,0
-116.8928069,34.0813937,0
-120.2354279,34.7375727,0
-118.0989909,36.5074727,0
-118.6547779,36.4664267,0
-119.0450209,34.7383427,0
-117.4101409,33.6484217,0
-117.3928679,33.2380367,0
-116.4718019,32.8906327,0
-116.6771527,32.9845324,0
-120.8547697,35.6378262,0
-116.8511739,36.4373087,0
-119.3492988,35.0586291,0
-116.7989429,33.5004607,0
-119.5118359,36.6992615,0
-118.2071003,35.5494581,0
-117.6766129,34.1748887,0
-117.0639579,34.2452557,0
-116.1626236,34.0138414,0
-118.9088976,36.8189424,0
-118.3953543,34.6685951,0
-119.5569949,34.8187907,0
-119.5768969,33.9981167,0
-119.6685329,34.6739607,0
-116.2002339,32.6119997,0
-120.5084609,35.3183817,0
-116.5004177,36.0509851,0
-119.7298739,35.0931687,0
-118.8450999,35.8163067,0
-119.3299456,34.8339402,0
-119.2871779,35.4417537,0
-118.8782429,35.2233697,0
-122.0649918,39.5508277,0
-120.6701509,37.2442817,0
-115.5356439,32.9416587,0
-120.3368295,41.2351468,0
-121.4588469,38.4960307,0
-120.9253159,38.7687607,0
-118.6550657,37.6375765,0
-121.1597352,37.5141365,0
-119.8035199,37.7472667,0
-120.6668929,38.3755147,0
-120.4258218,39.6153759,0
-121.6093062,39.4978958,0
-123.3982919,39.5664857,0
-121.9157259,40.3357087,0
-120.1080006,40.4932903,0
-122.3224869,40.6724857,0
-123.0337989,40.6589377,0
-120.3753129,41.7332787,0
-121.8916067,41.9998861,0
-123.5376359,41.3028427,0
-122.0111142,41.8224004,0
-122.1355519,41.2323207,0
-119.2218859,38.2592757,0
-120.2610649,36.6541134,0
-122.1464708,37.8183531,0
-121.0644229,35.9222607,0
-123.4877394,41.3813232,0
-122.0499734,41.4000979,0
-121.0692617,41.8190067,0
-120.1718519,41.5295757,0
-123.6037721,40.1732694,0
-122.6387259,40.0279597,0
-121.5755009,40.1173377,0
-120.623502,40.2017613,0
-123.484892,39.6878368,0
-122.7090796,39.1844218,0
-121.0099559,39.0686937,0
-120.8280109,39.5602197,0
-122.719303,38.5498734,0
-121.8400349,38.7939347,0
-120.4473869,38.7694117,0
-121.6774341,37.2521703,0
-120.6452578,37.9834939,0
-119.7013699,37.1201217,0
-118.0043109,37.4158007,0
-123.0480649,38.3407717,0
-122.1565019,37.2115267,0
-121.4234494,36.257393,0
-120.7850119,36.8794687,0
-119.3040849,36.0799797,0
-122.6334149,41.7401687,0
-121.8238479,41.2528113,0
-123.8400894,40.9701495,0
-121.5700369,40.8188497,0
-122.5143889,38.3795127,0
-121.7328649,37.6650327,0
-120.4009629,37.1416897,0
-119.1614638,37.2556212,0
